value,variants
Ethugai,Ethugai
Prem Suman,Prem Suman
The Jungle Book ,The Jungle Book 
Main Hoon Rakshak,Main Hoon Rakshak
The Power of Ranneeti,The Power of Ranneeti
MARUPADY,MARUPADY
Raktyug,Raktyug
Digant,Digant
Nirmon,Nirmon
Dele Dhara Katha Sare,Dele Dhara Katha Sare
