value,variants
Fried Papad,Fried Papad
Masala Papad Roaster,Masala Papad Roaster
Masala Papad Fry,Masala Papad Fry
Veg Raita,Veg Raita
Raita,Raita
Boondi raita,Boondi raita
Pineapple Raita,Pineapple Raita
Curd,Curd
Aloo Mutter,Aloo Mutter
Aloo Methi,Aloo Methi
Aloo Palak,Aloo Palak
Jeera Aloo,Jeera Aloo
Aloo Capsicum,Aloo Capsicum
Aloo Gobi,Aloo Gobi
Sukha Aloo,Sukha Aloo
Dum Aloo,Dum Aloo
Corn Palak,Corn Palak
Lasooni Palak,Lasooni Palak
Palak Paneer,Palak Paneer
Paneer Butter Masala,Paneer Butter Masala
Paneer Makhanwala,Paneer Makhanwala
Paneer Mutter,Paneer Mutter
Kadai Paneer,Kadai Paneer
Paneer Gravy,Paneer Gravy
Veg Kadai,Veg Kadai
Veg Kolhapuri,Veg Kolhapuri
Veg Makhanwala,Veg Makhanwala
Veg Malwani,Veg Malwani
Veg Jalfrezi,Veg Jalfrezi
Sev Tomato,Sev Tomato
Egg Malwani,Egg Malwani
Egg Kolhapuri,Egg Kolhapuri
Egg Curry,Egg Curry
Egg Masala,Egg Masala
Egg Hyderabadi,Egg Hyderabadi
Egg Bhurji Curry,Egg Bhurji Curry
Omletter Currt,Omletter Currt
Dal  ,Dal  
Dahi Kadhi,Dahi Kadhi
Kadi,Kadi
Kadhi,Kadhi
Aloo Paratha,Aloo Paratha
Onion paratha,Onion paratha
Methi Paratha,Methi Paratha
Gobi Paratha,Gobi Paratha
Garlic Paratha,Garlic Paratha
Mix Vegetable Paratha,Mix Vegetable Paratha
Cheese Paratha,Cheese Paratha
Paneer Paratha,Paneer Paratha
Egg Bhurji Paratha,Egg Bhurji Paratha
Egg Paratha,Egg Paratha
Rice,Rice
Jeera Rice,Jeera Rice
Dal Khichdi,Dal Khichdi
masala rice,masala rice
Palak Rice,Palak Rice
Tawa Pulav,Tawa Pulav
Veg Biryani,Veg Biryani
Veg Paneer Biryani,Veg Paneer Biryani
Egg Biryani,Egg Biryani
Veg Pulav,Veg Pulav
Paneer Veg Pulav,Paneer Veg Pulav
Egg Pulav,Egg Pulav
Curd Rice,Curd Rice
Chapati,Chapati
Butter Chapati,Butter Chapati
Plain Paratha,Plain Paratha
Pudhina Paratha,Pudhina Paratha
Manchurian Dry,Manchurian Dry
Paneer Chilli ,Paneer Chilli 
Vegetable Stir Fry,Vegetable Stir Fry
Corn Schezuan,Corn Schezuan
Corn Sprout Stir Fry,Corn Sprout Stir Fry
Paneer Schezuan,Paneer Schezuan
Chilly Garlic Potato,Chilly Garlic Potato
Chinese Bhel,Chinese Bhel
Egg Pepper Fry,Egg Pepper Fry
Egg Schezuan,Egg Schezuan
Egg Chilly,Egg Chilly
Veg Fried Rice,Veg Fried Rice
Schezuan Fried Rice,Schezuan Fried Rice
Egg Fried Rice,Egg Fried Rice
Egg Noddles,Egg Noddles
Manchurian Rice,Manchurian Rice
Burnt Garlic Rice,Burnt Garlic Rice
Spinach Garlic Fried Rice,Spinach Garlic Fried Rice
Ginger Garlic Fried Rice,Ginger Garlic Fried Rice
Chilly Garlic Fried Rice,Chilly Garlic Fried Rice
Lemon Rice,Lemon Rice
Paneer Schezuan Fried Rice,Paneer Schezuan Fried Rice
Hakka Noodles,Hakka Noodles
Schezuan Noodles,Schezuan Noodles
Chilly Garlic Noodles,Chilly Garlic Noodles
Triple Schezuan ,Triple Schezuan 
Veg Manchurian,Veg Manchurian
American Choupsey,American Choupsey
Chinese Combo,Chinese Combo
Egg Chinese Combo,Egg Chinese Combo
Supreme Chinese Combo,Supreme Chinese Combo
Margeritta Pizza,Margeritta Pizza
Veg Pizza,Veg Pizza
Red Sauce Pasta,Red Sauce Pasta
White Sauce pasta,White Sauce pasta
Mix Sauce Pasta,Mix Sauce Pasta
Bhel,Bhel
Sev Puri,Sev Puri
Sukha Bhel,Sukha Bhel
Masala Puri,Masala Puri
Dahi Puri,Dahi Puri
Papdi Chat,Papdi Chat
Vada Chat,Vada Chat
Samosa Chat,Samosa Chat
Samosa Bhel,Samosa Bhel
Bread dahi Vada,Bread dahi Vada
Dahi Vada,Dahi Vada
Masala Maggi,Masala Maggi
Veg Maggi,Veg Maggi
Cheese maggi,Cheese maggi
French Fries,French Fries
Aloo Roll,Aloo Roll
Paneer Rool ,Paneer Rool 
Egg Maggi,Egg Maggi
Egg Roll,Egg Roll
Chicken Tandoori,Chicken Tandoori
Cream Chicken Tandoori,Cream Chicken Tandoori
Pepper Chicken Tandoori,Pepper Chicken Tandoori
Chicken Tandoori Adraki,Chicken Tandoori Adraki
Chicken Tandoori Pudina,Chicken Tandoori Pudina
Chicken Tandoori Banjara,Chicken Tandoori Banjara
Chicken Tandoori Pahadi,Chicken Tandoori Pahadi
Chicken Tandoori Schezwan,Chicken Tandoori Schezwan
Chicken Pahadi Kabab,Chicken Pahadi Kabab
Chicken Tangdi Kabab,Chicken Tangdi Kabab
