value,variants
Sarrainodu (U/A),Sarrainodu (U/A)
Nenu Local,Nenu Local
Assassin`s Creed,Assassin`s Creed
The Space Between Us,The Space Between Us
Assassin`s Creed (Tamil),Assassin`s Creed (Tamil)
Ekkadiki Pothavu Chinnavaada (U/A),Ekkadiki Pothavu Chinnavaada (U/A)
Sarvann,Sarvann
Fantastic Beasts And Where To Find Them (3D Tamil) (U/A),Fantastic Beasts And Where To Find Them (3D Tamil) (U/A)
Thammar Boyfriend,Thammar Boyfriend
Romantic Noy,Romantic Noy
Nil Battey Sannata (U),Nil Battey Sannata (U)
Ghatana (U/A),Ghatana (U/A)
Rajakumara,Rajakumara
Tagaru,Tagaru
My Story,My Story
Fantastic Beasts And Where To Find Them (3D Hindi) (U/A),Fantastic Beasts And Where To Find Them (3D Hindi) (U/A)
Fantastic Beasts And Where To Find Them (Hindi) (U/A),Fantastic Beasts And Where To Find Them (Hindi) (U/A)
The Nanny,The Nanny
Brother Orange,Brother Orange
Fantastic Beasts And Where To Find Them (U/A),Fantastic Beasts And Where To Find Them (U/A)
Anjukku Onnu,Anjukku Onnu
Nene Raju Nene Mantri,Nene Raju Nene Mantri
Naanna Nenu Naa Boy Friends,Naanna Nenu Naa Boy Friends
Fantastic Beasts And Where To Find Them (Telugu) (U/A),Fantastic Beasts And Where To Find Them (Telugu) (U/A)
Kanchana (Tamil) (U/A),Kanchana (Tamil) (U/A)
Fantastic Beasts And Where To Find Them (3D Telugu) (U/A),Fantastic Beasts And Where To Find Them (3D Telugu) (U/A)
Kaul - A Calling (U),Kaul - A Calling (U)
Gunda,Gunda
Fantastic Beasts And Where To Find Them (3D) (4DX) (U/A),Fantastic Beasts And Where To Find Them (3D) (4DX) (U/A)
Oodi Oodi Uzhaikanum,Oodi Oodi Uzhaikanum
Kumari Mallika (A),Kumari Mallika (A)
Doodh Ka Karz (A),Doodh Ka Karz (A)
Panoda Bodcha,Panoda Bodcha
Main Hoon Lucky The Racer,Main Hoon Lucky The Racer
Temper (Hindi),Temper (Hindi)
Lion of the Sea,Lion of the Sea
Charuseela (U/A),Charuseela (U/A)
Don`t Breathe (Telugu) (A),Don`t Breathe (Telugu) (A)
Dark World (2016),Dark World (2016)
Tu Bold Mee Cold (U/A),Tu Bold Mee Cold (U/A)
Vinash (U/A),Vinash (U/A)
Teenanko (A),Teenanko (A)
Grand Hali (U),Grand Hali (U)
