value,variants
Jhansi,Jhansi |
Koyilandy,Koyilandy |
Kavali,Kavali |
Sattenapalle,Sattenapalle |
Samana,Samana |
Ramganj Mandi,Ramganj |Ramganj Mandi |
Udgir,Udgir |
Wai,Wai |
Siddipet,Siddipet |
Urmar Tanda,Urmar |Tanda |
Seoni Malwa,Seoni |Malwa |
Nangal,Nangal |
Tumsar,Tumsar |
Barbil,Barbil |
Parasi,Parasi |
Shamgarh,Shamgarh |
Bhilwara,Bhilwara |
Punalur,Punalur |
Repalle,Repalle |
Mandsaur,Mandsaur |
Porsa,Porsa |
Saiha,Saiha |
Tittakudi,Tittakudi |
Srikalahasti,Srikalahasti |
Varkala,Varkala |
Sherkot,Sherkot |
Silvassa,Silvassa |
Bhavnagar,Bhavnagar |
Arambagh,Arambagh |
Mariani,Mariani |
Suri,Suri |
Zunheboto,Zunheboto |
Sadabad,Sadabad |
Baleshwar Town,Baleshwar | |
bengaluru,bengaluru |bangalore |
Tirupati,Tirupati |
Warangal,Warangal |
Gobichettipalayam,Gobichettipalayam |
Yerraguntla,Yerraguntla |
Chikkamagaluru,Chikkamagaluru |
Sitarganj,Sitarganj |
Virudhunagar,Virudhunagar |
Tumkur,Tumkur |
Tikamgarh,Tikamgarh |
Nawada,Nawada |
chandigarh,chandigarh |
Sinnar,Sinnar |
Ballari,Ballari |
Begusarai,Begusarai |
Shujalpur,Shujalpur |
Vikramasingapuram,Vikramasingapuram |
Rajauri,Rajauri |
Dumka,Dumka |
Sailu,Sailu |
Thakurdwara,Thakurdwara |
Bhuj,Bhuj |
Sunam,Sunam |
Parvathipuram,Parvathipuram |
Sangaria,Sangaria |
Hapur,Hapur |
Udumalaipettai,Udumalaipettai |
Gobindgarh,Gobindgarh |
Osmanabad,Osmanabad |
Ramanagaram,Ramanagaram |
Silchar,Silchar |
Savarkundla,Savarkundla |
Wankaner,Wankaner |
Bargarh,Bargarh |
Fazilka,Fazilka |
Rajakhera,Rajakhera |
Chirmiri,Chirmiri |
Vaikom,Vaikom |
Samalkot,Samalkot |
Mehkar,Mehkar |
Phusro,Phusro |
Rajahmundry,Rajahmundry |
Manglaur,Manglaur |
Shahbad,Shahbad |
Neyveli,Neyveli |
Sagwara,Sagwara |
Margherita,Margherita |
Kadi,Kadi |
Sri Madhopur,Sri Madhopur |Madhopur |
Sankeshwara,Sankeshwara |
Kanhangad,Kanhangad |
Umarkhed,Umarkhed |
Ponnani,Ponnani |
Nohar,Nohar |
Rameshwaram,Rameshwaram |
Uthiramerur,Uthiramerur |
Terdal,Terdal |
Mandamarri,Mandamarri |
Tharangambadi,Tharangambadi |
Kottayam,Kottayam |
Prantij,Prantij |
Jagraon,Jagraon |
Nadbai,Nadbai |
Adalaj,Adalaj |
Panagudi,Panagudi |
Maharajganj,Maharajganj |
Araria,Araria |
Thrissur,Thrissur |
Yawal,Yawal |
Malout,Malout |
Dumraon,Dumraon |
Ramtek,Ramtek |
Sidlaghatta,Sidlaghatta |
Zira,Zira |
Rayagada,Rayagada |
Tenkasi,Tenkasi |
Bhabua,Bhabua |
Soro,Soro |
Lanka,Lanka |
Tenali,Tenali |
Mussoorie,Mussoorie |
Sahibganj,Sahibganj |
Multai,Multai |
Paravoor,Paravoor |
Paschim Punropara,Paschim Punropara |Punropara |
Chandigarh,Chandigarh |
Purquazi,Purquazi |
Gaya,Gaya |
Coal Dhanbad,Coal Dhanbad |Dhanbad |
Vijainagar Ajmer,Vijainagar |Ajmer |
Panna,Panna |
Udhampur,Udhampur |
Bilaspur,Bilaspur |
Renukoot,Renukoot |
Pinjore,Pinjore |
Palanpur,Palanpur |
Pardi,Pardi |
Talikota,Talikota |
Lunglei,Lunglei |
Pithampur,Pithampur |
